Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
Unit1_Homework3,(default package),Expression,Expression,3,1,0,8
Unit1_Homework3,(default package),Expression,Expression,3,1,1,12
Unit1_Homework3,(default package),Expression,deepClone,7,2,0,16
Unit1_Homework3,(default package),Expression,getTerms,3,1,0,24
Unit1_Homework3,(default package),Expression,addTerm,3,1,1,28
Unit1_Homework3,(default package),Expression,delTerm,3,1,1,32
Unit1_Homework3,(default package),Expression,size,3,1,0,36
Unit1_Homework3,(default package),Expression,getTerm,3,1,1,40
Unit1_Homework3,(default package),Expression,clearExpressionInTerm,13,4,0,44
Unit1_Homework3,(default package),Expression,uniteLikeTerm,37,8,0,58
Unit1_Homework3,(default package),Expression,clearZeroTerm,9,4,0,97
Unit1_Homework3,(default package),Expression,sortInCoefficientDescendingOrder,3,1,0,107
Unit1_Homework3,(default package),Expression,multiplyTerm,5,2,1,111
Unit1_Homework3,(default package),Expression,multiplyExpression,14,3,1,117
Unit1_Homework3,(default package),Expression,addExpression,3,1,1,131
Unit1_Homework3,(default package),Expression,valueEquals,11,4,1,135
Unit1_Homework3,(default package),Expression,reverseEachTerms,5,2,0,147
Unit1_Homework3,(default package),Expression,inFormat,17,4,2,153
Unit1_Homework3,(default package),Expression,toString,7,2,0,171
Unit1_Homework3,(default package),Expression,compareTo,20,7,1,180
Unit1_Homework3,(default package),Lexer,Lexer,4,1,1,6
Unit1_Homework3,(default package),Lexer,peek,3,1,0,11
Unit1_Homework3,(default package),Lexer,next,28,6,0,15
Unit1_Homework3,(default package),Lexer,getNumber,8,2,0,41
Unit1_Homework3,(default package),MainClass,main,22,3,1,11
Unit1_Homework3,(default package),MainClass,clipDupOperator,15,4,1,39
Unit1_Homework3,(default package),Parser,Parser,3,1,1,8
Unit1_Homework3,(default package),Parser,parseExpression,17,3,0,12
Unit1_Homework3,(default package),Parser,parseTerm,43,11,1,31
Unit1_Homework3,(default package),Parser,parseNum,10,2,0,76
Unit1_Homework3,(default package),Parser,parsePolyFactor,18,3,0,87
Unit1_Homework3,(default package),Parser,parseTrig,13,2,0,105
Unit1_Homework3,(default package),Parser,parseFunction,23,5,0,119
Unit1_Homework3,(default package),Parser,getArguments,10,2,0,147
Unit1_Homework3,(default package),Parser,parseSum,21,3,0,158
Unit1_Homework3,(default package),Parser,getContentInBrackets,21,5,0,181
Unit1_Homework3,(default package),PolyFactor,PolyFactor,4,1,2,7
Unit1_Homework3,(default package),PolyFactor,deepClone,4,1,0,12
Unit1_Homework3,(default package),PolyFactor,getCoefficient,3,1,0,17
Unit1_Homework3,(default package),PolyFactor,setCoefficient,3,1,1,21
Unit1_Homework3,(default package),PolyFactor,getIndex,3,1,0,25
Unit1_Homework3,(default package),PolyFactor,multiplyPoly,4,1,1,29
Unit1_Homework3,(default package),PolyFactor,valueEquals,3,1,1,34
Unit1_Homework3,(default package),PolyFactor,inFormat,25,7,1,38
Unit1_Homework3,(default package),PolyFactor,toString,3,1,0,62
Unit1_Homework3,(default package),PolyFactor,compareTo,15,5,1,67
Unit1_Homework3,(default package),SelfFunction,SelfFunction,5,1,2,10
Unit1_Homework3,(default package),SelfFunction,refractExpr,19,5,0,16
